Line ID,Game ID,Player Name,Normalized Name,Team,Market,Line,League,Sportsbook,Game Date,Start Time,Grade,Line Change Value,Line Change Timestamp
prizepicks_3305364,2024-11-10_columbus-blue-jackets_los-angeles-kings,Elvis Merzlikins,elvis merzlikins,columbus blue jackets,goalie saves,28.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,28.5,2024-11-09T17:32:26.330Z
prizepicks_3304882,2024-11-10_columbus-blue-jackets_los-angeles-kings,Quinton Byfield,quinton byfield,los angeles kings,points,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,0.5,2024-11-09T15:47:26.575Z
prizepicks_3304880,2024-11-10_columbus-blue-jackets_los-angeles-kings,Sean Monahan,sean monahan,columbus blue jackets,points,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,0.5,2024-11-09T15:47:26.575Z
prizepicks_3304842,2024-11-10_carolina-hurricanes_colorado-avalanche,Jaccob Slavin,jaccob slavin,carolina hurricanes,blocked shots,1.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,1.5,2024-11-09T15:32:26.417Z
prizepicks_3304841,2024-11-10_columbus-blue-jackets_los-angeles-kings,Mikey Anderson,mikey anderson,los angeles kings,blocked shots,1.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,1.5,2024-11-09T15:32:26.417Z
prizepicks_3304840,2024-11-10_columbus-blue-jackets_los-angeles-kings,Joel Edmundson,joel edmundson,los angeles kings,blocked shots,1.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,1.5,2024-11-09T15:32:26.417Z
prizepicks_3304235,2024-11-10_carolina-hurricanes_colorado-avalanche,Nathan MacKinnon,nathan mackinnon,colorado avalanche,hits,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,0.5,2024-11-09T14:37:26.540Z
prizepicks_3304234,2024-11-10_carolina-hurricanes_colorado-avalanche,Andrei Svechnikov,andrei svechnikov,carolina hurricanes,hits,1.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,1.5,2024-11-09T14:37:26.540Z
prizepicks_3304233,2024-11-10_columbus-blue-jackets_los-angeles-kings,Kyle Burroughs,kyle burroughs,los angeles kings,hits,2.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,2.5,2024-11-09T14:37:26.540Z
prizepicks_3304232,2024-11-10_columbus-blue-jackets_los-angeles-kings,Mathieu Olivier,mathieu olivier,columbus blue jackets,hits,3.0,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,2.5,2024-11-09T14:37:26.540Z
prizepicks_3304232,2024-11-10_columbus-blue-jackets_los-angeles-kings,Mathieu Olivier,mathieu olivier,columbus blue jackets,hits,3.0,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,3.0,2024-11-09T14:39:26.357Z
prizepicks_3303862,2024-11-10_carolina-hurricanes_colorado-avalanche,Sebastian Aho,sebastian aho,carolina hurricanes,assists,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,0.5,2024-11-09T09:37:26.401Z
prizepicks_3303861,2024-11-10_carolina-hurricanes_colorado-avalanche,Nathan MacKinnon,nathan mackinnon,colorado avalanche,points,1.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,1.5,2024-11-09T09:37:26.401Z
