Game ID,Home Team,Away Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Scoring,Scoring,Scoring,Unnamed: 5_level_0,Unnamed: 6_level_0,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Player ID
,,,Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,
202410240BOS,BOS,DAL,3.0,Brandon Carlo,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,25.0,18:36,carlobr01
202410240BOS,BOS,DAL,4.0,Charlie Coyle,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,25.0,15:28,coylech01
202410240BOS,BOS,DAL,5.0,Trent Frederic,0,1,1,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0,,21.0,13:14,fredetr01
202410240BOS,BOS,DAL,6.0,Morgan Geekie,0,1,1,0.0,0,0,0,0,0.0,0.0,1.0,0.0,3,0.0,18.0,15:20,geekimo01
202410240BOS,BOS,DAL,7.0,Mark Kastelic,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,16.0,12:09,kastema01
202410240BOS,BOS,DAL,8.0,Cole Koepke,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,17.0,12:21,koepkco01
202410240BOS,BOS,DAL,9.0,Elias Lindholm,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,25.0,18:37,lindhel01
202410240BOS,BOS,DAL,10.0,Hampus Lindholm,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,26.0,19:45,lindhha01
202410240BOS,BOS,DAL,11.0,Brad Marchand,0,0,0,-1.0,4,0,0,0,0.0,0.0,0.0,0.0,2,0.0,23.0,17:52,marchbr03
202410240BOS,BOS,DAL,12.0,Charlie McAvoy,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,28.0,21:59,mcavoch01
