Player,PlayerID,Team,TeamID,Position
Jakub Vrana,vranaja01,Washington Capitals,WSH,F
Chris Wagner,wagnech01,Colorado Avalanche,COL,F
Oliver Wahlstrom,wahlsol01,New York Islanders,NYI,F
Nathan Walker,walkena01,St. Louis Blues,STL,F
Sammy Walker,walkesa01,Minnesota Wild,MIN,F
Sean Walker,walkese01,Carolina Hurricanes,CAR,D
Jake Walman,walmaja01,San Jose Sharks,SJS,D
Austin Watson,watsoau01,Detroit Red Wings,DET,F
Scott Wedgewood,wedgesc01,Nashville Predators,NSH,G
Mackenzie Weegar,weegama01,Calgary Flames,CGY,D
Alex Wennberg,wennbal01,San Jose Sharks,SJS,F
Zach Werenski,werenza01,Columbus Blue Jackets,CBJ,D
Zach Whitecloud,whiteza01,Vegas Golden Knights,VEG,D
Tom Wilson,wilsoto01,Washington Capitals,WSH,F
Ryan Winterton,wintery01,Seattle Kraken,SEA,F
Dustin Wolf,wolfdu01,Calgary Flames,CGY,G
Joseph Woll,wolljo01,Toronto Maple Leafs,TOR,G
Miles Wood,woodmi01,Colorado Avalanche,COL,F
Parker Wotherspoon,wothepa01,Boston Bruins,BOS,D
Shane Wright,wrighsh01,Seattle Kraken,SEA,F
Arber Xhekaj,xhekaar01,Montreal Canadiens,MTL,D
Kailer Yamamoto,yamamka01,Arizona Coyotes,ARI,F
Jesse Ylonen,yloneje01,Montreal Canadiens,MTL,F
Cam York,yorkca01,Philadelphia Flyers,PHI,D
Pavel Zacha,zachapa01,Boston Bruins,BOS,F
Nikita Zadorov,zadorni01,Boston Bruins,BOS,D
Yegor Zamula,zamulye01,Philadelphia Flyers,PHI,D
Connor Zary,zaryco01,Calgary Flames,CGY,F
Trevor Zegras,zegratr01,Anaheim Ducks,ANA,F
Olen Zellweger,zellwol01,Anaheim Ducks,ANA,D
Fabian Zetterlund,zettefa01,San Jose Sharks,SJS,F
Mika Zibanejad,zibanmi01,New York Rangers,NYR,F
Artem Zub,zubar01,Ottawa Senators,OTT,D
Mats Zuccarello,zuccama01,Minnesota Wild,MIN,F
Jason Zucker,zuckeja01,Buffalo Sabres,BUF,F
