GameID,Game,PlayerID,Player,Team,Is_Home,Opp,Stat,Line,Type,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,mctavma01,Mason McTavish,ANA,1,CBJ,SOG,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,vorondi01,Dmitri Voronkov,CBJ,0,ANA,SOG,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,severda01,Damon Severson,CBJ,0,ANA,SOG,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,chinaye01,Yegor Chinakhov,CBJ,0,ANA,SOG,3.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,gauthcu01,Cutter Gauthier,ANA,1,CBJ,SOG,3.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,werenza01,Zach Werenski,CBJ,0,ANA,A,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,bertuty01,Tyler Bertuzzi,CHI,1,MIN,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,teravte01,Teuvo Teravainen,CHI,1,MIN,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,hartmry01,Ryan Hartman,MIN,0,CHI,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,donatry01,Ryan Donato,CHI,1,MIN,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,kurasph01,Philipp Kurashev,CHI,1,MIN,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,brodijo01,Jonas Brodin,MIN,0,CHI,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,spurgja01,Jared Spurgeon,MIN,0,CHI,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,hischni01,Nico Hischier,NJD,1,SJS,A,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,meierti01,Timo Meier,NJD,1,SJS,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,hughelu01,Luke Hughes,NJD,1,SJS,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,brattje01,Jesper Bratt,NJD,1,SJS,A,0.5,Gob.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,merceda01,Dawson Mercer,NJD,1,SJS,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,zuccama01,Mats Zuccarello,MIN,0,CHI,A,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,chinaye01,Yegor Chinakhov,CBJ,0,ANA,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,zegratr01,Trevor Zegras,ANA,1,CBJ,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,stromry01,Ryan Strome,ANA,1,CBJ,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,mctavma01,Mason McTavish,ANA,1,CBJ,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,carlsle01,Leo Carlsson,ANA,1,CBJ,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,provoiv01,Ivan Provorov,CBJ,0,ANA,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,gauthcu01,Cutter Gauthier,ANA,1,CBJ,A,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,brodijo01,Jonas Brodin,MIN,0,CHI,BLK,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,spurgja01,Jared Spurgeon,MIN,0,CHI,BLK,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,middlja01,Jake Middleton,MIN,0,CHI,BLK,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,murphco02,Connor Murphy,CHI,1,MIN,BLK,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,vlasial01,Alex Vlasic,CHI,1,MIN,BLK,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,ferrama01,Mario Ferraro,SJS,0,NJD,BLK,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,provoiv01,Ivan Provorov,CBJ,0,ANA,BLK,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,gudasra01,Radko Gudas,ANA,1,CBJ,HIT,3,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,olivima01,Mathieu Olivier,CBJ,0,ANA,HIT,2.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,dillobr01,Brenden Dillon,NJD,1,SJS,HIT,2.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,siegejo01,Jonas Siegenthaler,NJD,1,SJS,HIT,1.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,cottepa01,Paul Cotter,NJD,1,SJS,HIT,3,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,kostikl01,Klim Kostin,SJS,0,NJD,HIT,1.5,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,maroopa01,Pat Maroon,CHI,1,MIN,HIT,1.5,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,hallta02,Taylor Hall,CHI,1,MIN,HIT,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,foligma01,Marcus Foligno,MIN,0,CHI,HIT,3,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,foligni01,Nick Foligno,CHI,1,MIN,HIT,3,Norm.,,,,,,,,,,,,,,,,,
