Season,Player,PlayerID,TeamID,Position,GP,G,A,PTS,SOG,S%,HIT,BLK,TOI,SAtt,PIM,EVG,PPG,SHG,EVA,PPA,SHA,G_GP,A_GP,PTS_GP,SOG_GP,HIT_GP,BLK_GP,TOI_GP,SAtt_GP,PIM_GP
2024-25,Zack Ostapchuk,ostapza01,OTT,F,6,0,1,1,3,0,8,5,62.45,45,0,0,0,0,1,0,0,0,0.166666667,0.166666667,0.5,1.333333333,0.833333333,10.40833333,7.5,0
2024-25,Akil Thomas,thomaak01,LAK,F,9,1,1,2,14,0.071428571,16,8,100.5833333,98,2,1,0,0,1,0,0,0.111111111,0.111111111,0.222222222,1.555555556,1.777777778,0.888888889,11.17592593,10.88888889,0.222222222
2024-25,Ethan Cardwell,cardwet01,SJS,F,3,0,0,0,3,0,5,1,38.18333333,35,2,0,0,0,0,0,0,0,0,0,1,1.666666667,0.333333333,12.72777778,11.66666667,0.666666667
2024-25,Michael Sgarbossa,sgarbmi01,WSH,F,3,1,1,2,1,1,1,1,28.01666667,24,2,1,0,0,1,0,0,0.333333333,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,9.338888889,8,0.666666667
2024-25,T.J. Tynan,tynant.01,COL,F,7,0,1,1,4,0,4,4,54.48333333,61,2,0,0,0,1,0,0,0,0.142857143,0.142857143,0.571428571,0.571428571,0.571428571,7.783333333,8.714285714,0.285714286
2024-25,Justin Dowling,dowliju01,NJD,F,11,0,1,1,5,0,12,3,93.25,68,0,0,0,0,1,0,0,0,0.090909091,0.090909091,0.454545455,1.090909091,0.272727273,8.477272727,6.181818182,0
2024-25,Drake Caggiula,caggidr01,EDM,F,4,0,1,1,4,0,7,3,33.06666667,28,5,0,0,0,1,0,0,0,0.25,0.25,1,1.75,0.75,8.266666667,7,1.25
2024-25,Noah Philp,philpno01,EDM,F,3,0,1,1,4,0,1,1,30.63333333,20,0,0,0,0,1,0,0,0,0.333333333,0.333333333,1.333333333,0.333333333,0.333333333,10.21111111,6.666666667,0
2024-25,Blake Lizotte,lizotbl01,PIT,F,7,2,0,2,8,0.25,13,4,63.48333333,64,0,2,0,0,0,0,0,0.285714286,0,0.285714286,1.142857143,1.857142857,0.571428571,9.069047619,9.142857143,0
2024-25,Cale Fleury,fleurca01,SEA,D,2,0,0,0,1,0,4,3,22.96666667,18,0,0,0,0,0,0,0,0,0,0,0.5,2,1.5,11.48333333,9,0
2024-25,Alexander Alexeyev,alexeal01,WSH,D,5,0,0,0,4,0,6,10,66.1,56,0,0,0,0,0,0,0,0,0,0,0.8,1.2,2,13.22,11.2,0
2024-25,Dmitri Voronkov,vorondi01,CBJ,F,11,5,2,7,23,0.217391304,4,4,161.3333333,213,4,4,1,0,2,0,0,0.454545455,0.181818182,0.636363636,2.090909091,0.363636364,0.363636364,14.66666667,19.36363636,0.363636364
2024-25,Tomas Nosek,nosekto01,FLA,F,9,1,2,3,8,0.125,12,5,91.55,56,2,0,1,0,2,0,0,0.111111111,0.222222222,0.333333333,0.888888889,1.333333333,0.555555556,10.17222222,6.222222222,0.222222222
2024-25,Jacob Bryson,brysoja01,BUF,D,10,0,2,2,5,0,4,17,158.3166667,143,4,0,0,0,2,0,0,0,0.2,0.2,0.5,0.4,1.7,15.83166667,14.3,0.4
2024-25,Isaak Phillips,phillis01,CHI,D,3,1,0,1,3,0.333333333,2,4,35.68333333,23,0,1,0,0,0,0,0,0.333333333,0,0.333333333,1,0.666666667,1.333333333,11.89444444,7.666666667,0
2024-25,Nikita Prishchepov,prishni01,COL,F,6,0,0,0,4,0,9,1,43.75,50,0,0,0,0,0,0,0,0,0,0,0.666666667,1.5,0.166666667,7.291666667,8.333333333,0
2024-25,Samuel Bolduc,boldusa01,NYI,D,1,0,0,0,0,0,0,0,5.933333333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5.933333333,7,0
2024-25,Grant Hutton,huttogr01,NYI,D,7,0,2,2,7,0,7,9,98.18333333,70,2,0,0,0,2,0,0,0,0.285714286,0.285714286,1,1,1.285714286,14.02619048,10,0.285714286
2024-25,Jimmy Vesey,veseyji02,NYR,F,9,2,0,2,11,0.181818182,9,3,90.61666667,81,0,2,0,0,0,0,0,0.222222222,0,0.222222222,1.222222222,1,0.333333333,10.06851852,9,0
2024-25,Artturi Lehkonen,lehkoar01,COL,F,9,3,4,7,21,0.142857143,5,5,203.3333333,243,4,2,1,0,4,0,0,0.333333333,0.444444444,0.777777778,2.333333333,0.555555556,0.555555556,22.59259259,27,0.444444444
2024-25,John Hayden,haydejo01,SEA,F,1,0,0,0,0,0,4,1,8.9,5,2,0,0,0,0,0,0,0,0,0,0,4,1,8.9,5,2
2024-25,Ryan Winterton,wintery01,SEA,F,1,0,0,0,1,0,3,1,9.466666667,6,0,0,0,0,0,0,0,0,0,0,1,3,1,9.466666667,6,0
2024-25,Isaiah George,georgis01,NYI,D,9,0,0,0,8,0,2,11,175.3166667,150,2,0,0,0,0,0,0,0,0,0,0.888888889,0.222222222,1.222222222,19.47962963,16.66666667,0.222222222
2024-25,Gage Goncalves,goncaga01,TBL,F,7,0,1,1,5,0,10,1,89.56666667,93,2,0,0,0,0,1,0,0,0.142857143,0.142857143,0.714285714,1.428571429,0.142857143,12.7952381,13.28571429,0.285714286
2024-25,Tyler Johnson,johnsty01,BOS,F,6,0,1,1,5,0,4,2,78.91666667,66,6,0,0,0,0,1,0,0,0.166666667,0.166666667,0.833333333,0.666666667,0.333333333,13.15277778,11,1
2024-25,Ben Hutton,huttobe01,VEG,D,5,0,0,0,6,0,3,5,55.83333333,41,0,0,0,0,0,0,0,0,0,0,1.2,0.6,1,11.16666667,8.2,0
